Time(s),CTSresistance,HeartRate(1/min),RespirationRate(1/min),MeanArterialPressure(mmHg)
100.02,0,109.27,17.65,75.7
200.02,0,109.24,17.65,75.7
300.02,0,109.20,17.75,75.8
400.02,0,109.16,17.75,75.8
500.02,0,109.06,17.75,75.8
600.02,0,109.03,17.75,75.9
700.02,0,108.91,17.75,75.9
800.02,0,108.84,17.75,75.9
900.02,0,108.73,17.75,76.0
1000.02,0,108.61,17.75,76.0
1100.02,0,108.53,17.75,76.1
1200.02,0,108.35,17.75,76.2
1300.02,0,108.24,17.75,76.2
1400.02,0,108.32,17.65,76.0
1500.02,0,108.06,17.54,76.3
1600.02,0,108.16,17.54,76.1
1700.02,0,107.80,17.54,76.4
1800.02,0,108.02,17.54,76.1
1900.02,0,107.91,17.44,76.2
2000.02,0,107.81,17.54,76.2
2100.02,0,107.52,17.65,76.4
2200.02,0,107.80,17.65,76.1
2300.02,0,107.78,17.44,76.0
2400.02,0,107.61,17.54,76.1
2500.02,0,107.61,17.65,76.1
2600.02,0,107.40,17.65,76.3
2700.02,0,107.57,17.65,76.0
2800.02,0,107.58,17.54,76.0
2900.02,0,107.48,17.54,76.0
3000.02,0,107.39,17.65,76.1
3100.02,0,107.40,17.65,76.1
3200.02,0,107.23,17.75,76.2
3300.02,0,107.42,17.75,75.9
3400.02,0,107.39,17.54,75.9
3500.02,0,107.31,17.65,76.0
3600.02,0,107.27,17.75,76.0
3700.02,0,105.82,17.75,77.2
3800.02,0,105.87,17.65,77.1
3900.02,0,105.78,17.65,77.2
4000.02,0,105.67,17.75,77.3
4100.02,0,105.74,17.75,77.2
4200.02,0,105.67,17.65,77.2
4300.02,0,105.59,17.75,77.4
4400.02,0,105.56,17.75,77.3
4500.02,0,105.62,17.75,77.2
4600.02,0,105.47,17.75,77.4
4700.02,0,105.47,17.86,77.4
4800.02,0,105.55,17.75,77.3
4900.02,0,105.37,17.75,77.5
5000.02,0,105.34,17.86,77.5
5100.02,0,105.44,17.75,77.4
5200.02,0,105.31,17.75,77.5
5300.02,0,105.26,17.86,77.6
5400.02,0,105.37,17.75,77.5
5500.02,0,105.26,17.75,77.5
5600.02,0,105.19,17.86,77.7
5700.02,0,105.26,17.86,77.6
5800.02,0,105.24,17.75,77.6
5900.02,0,105.13,17.86,77.7
6000.02,0,105.14,17.86,77.7
6100.02,0,105.23,17.86,77.6
6200.02,0,105.08,17.86,77.7
6300.02,0,105.02,17.86,77.8
6400.02,0,105.16,17.86,77.6
6500.02,0,105.11,17.86,77.7
6600.02,0,104.96,17.86,77.8
6700.02,0,105.06,17.86,77.7
